budget_bucket,count,median,mean,p25,p75
0-5M,1205,2.93611775,24844.222621735018,0.9344653571428572,9.0
100M+,372,2.702903555965909,3.0151766428129707,1.7023466545833332,4.0025311573076925
15-40M,1544,1.6840094787356321,2.73822635504271,0.6728798430769231,3.402369664285714
40-100M,1023,1.9397639,2.503603513824085,0.9433485039682539,3.2337716175
5-15M,1237,1.8181818181818181,3.96316635674587,0.4897849285714286,4.5
